caderno_numero,tec_id,banca,concurso,ano,enunciado,alternativas,gabarito,unidades,artigos,uso_pedagogico,situacao_juridica,confianca,arquivo_origem,pagina,status_banco,motivo_banco,revisao_manual,importar_agora
429,2832645,FUNDATEC,ASG (CM Sapucaia do Sul)/CM Sapucaia do Sul/2023,2023,"A respeito da Lei nº 11.340, de 7 de agosto de 2006, Lei Maria da Penha, assinale a alternativa correta.","a) São formas de violência doméstica e familiar contra a mulher, entre outras, a violência psicológica, entendida como qualquer conduta que configure calúnia, difamação ou injúria | b) Em termos de assistência à mulher em situação de violência doméstica e famílias, o juiz determinará a inclusão da mulher em situação de violência doméstica e familiar no cadastro de programas assistenciais do governo federal, estadual e municipal, ainda que por prazo incerto | c) O juiz assegurará à mulher em situação de violência doméstica e familiar, para preservar sua integridade física e psicológica, entre outras providências, a manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, por até seis meses | d) A inquirição de mulher em situação de violência doméstica e familiar ou de testemunha de violência doméstica, quando se tratar de crime contra a mulher, obedecerá, entre outras diretrizes garantia de que, em hipótese específicas, a mulher em situação de violência doméstica e familiar, familiares e testemunhas terão contato direto com investigados ou suspeitos e pessoas a eles relacionadas",C,U2,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,6,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
436,2828648,FCC,AJ (TJ BA)/TJ BA/Apoio Especializado/Pedagogo/2023,2023,"Maria é médica e é casada com Diego, que é engenheiro. Ambos são servidores concursados da Prefeitura de Agudo. O casal tem dois filhos: João, de 18 anos, e Alice, de 13 anos. Certo dia, João chegou em casa alcoolizado, pois havia passado a noite ingerindo bebida alcoólica com os amigos em uma festa. No momento, Maria estava sozinha em casa, pois Diego já havia saído para trabalhar e Alice estava na escola. Vendo o estado em que se encontrava João, Maria pediu que ele tomasse um banho frio e um café, para que pudessem conversar sobre o ocorrido. João, que estava visivelmente alterado, começou a gritar com a mãe e agredi-la com socos, tapas e chutes, empreendendo fuga da residência na sequência. Após as agressões, Maria conseguiu ligar para seu marido, tendo sido socorrida e levada ao hospital para atendimento. Com base nos fatos narrados, assinale a alternativa correta, conforme as disposições da Lei Maria da Penha.","a) A situação narrada não configura violência doméstica, pois a relação de João e Maria é de mãe e filho. | b) Não será aplicada a Lei Maria da Penha, pois João é adolescente, o que atrai a aplicação do Estatuto da Criança e do Adolescente. | c) Como não se verifica situação de vulnerabilidade entre vítima e agressor, já que Maria é médica, tem trabalho estável e residência fixa, afasta-se a aplicação das disposições da Lei Maria da Penha. | d) No caso em tela, serão aplicadas as disposições da Lei Maria da Penha, uma vez que configura violência contra a mulher em contexto doméstico e familiar. | e) Embora seja existente o vínculo familiar entre Maria e João, o que em um primeiro momento atrai a aplicação da Lei Maria da Penha, no caso em tela não se pode falar em aplicação da referida lei, ao passo que Maria é mãe de João e, estando em uma posição hierárquica superior em relação ao filho, afasta o requisito da situação de vulnerabilidade da vítima.",D,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,15,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
441,2769196,INSTITUTO MAIS,GCM (Pref Santos)/Pref Santos/2023,2023,"De acordo com o disposto na Lei Maria da Penha (Lei nº 11.340/2006), a proteção e os direitos das mulheres em situação de violência doméstica e familiar incluem:","a) A criminalização da violência física, psicológica, sexual, patrimonial e moral, bem como o estabelecimento de medidas de prevenção e assistência às vítimas. | b) A obrigatoriedade do comparecimento da vítima à audiência de conciliação com o agressor, visando à reconciliação e à resolução pacífica do conflito. | c) A suspensão temporária e imediata das procurações conferidas pelo agressor à ofendida. | d) A aplicação de penas alternativas aos agressores, visando à sua reintegração social, mesmo em casos de reincidência.",A,,,BANCO_GERAL_MISSAO_FINAL,ATUAL,baixa,Caderno Lei Maria da Penha - 401 ao 600.pdf,8,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
468,2582271,Unifil,Educ (Pref Tamarana)/Pref Tamarana/2023,2023,"De acordo com a Lei Maria da Penha, que institui mecanismos para coibir a violência doméstica e familiar contra a mulher, é correto afirmar que:","a) A medida protetiva de afastamento do lar pode ser concedida apenas quando há risco de vida iminente para a mulher agredida. | b) A denúncia de violência doméstica não pode ser feita por qualquer pessoa, devendo ser feita necessariamente pela vítima. | c) Configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial. | d) A pena para o agressor em casos de violência doméstica é sempre a prisão em regime fechado, independentemente da gravidade da agressão. | e) A Lei Maria da Penha não se aplica a casais homoafetivos, somente a casais heterossexuais.",C,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,15,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
470,2561017,FUNDATEC,AST (PROCERGS)/PROCERGS/Técnico em Administração/2023,2023,"De acordo com Lei nº 11.340/2006, informe se é verdadeiro (V) ou falso (F) para o que se afirma e assinale a alternativa com a sequência correta. ( ) Para a configuração da violência doméstica em relações íntimas de afeto, é necessária a coabitação com o agressor. ( ) É assegurada à mulher em situação de violência doméstica ou familiar, a manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, por até 9 meses. ( ) Nas causas decorrentes da prática de violência doméstica e familiar contra a mulher, os atos processuais não poderão ser realizados em horário noturno. ( ) Constatada a violência doméstica o juiz poderá determinar, de imediato, a prestação de alimentos provisionais. ( ) Nos casos de violência doméstica, o juiz poderá determinar o afastamento do agressor do lar, mas não caberá a prisão preventiva.",a) V – F – V – F – V. | b) F – F – F – V – F. | c) V – V – V – F – V. | d) V – F – F – F – V.,B,,,BANCO_GERAL_MISSAO_FINAL,ATUAL,media,Caderno Lei Maria da Penha - 401 ao 600.pdf,15,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
481,2480489,Instituto ACCESS,GCM (Pref RP)/Pref RP/2023,2023,"Considere a lei alcunhada de Maria da Penha, que estabelece normativa sobre a violência doméstica contra a mulher. Com base em tal regra de direito, é correto afirmar que:","a) É indispensável que o agressor e a agredida tenham cohabitado para que se tipifique a violência doméstica. | b) Não há violência doméstica, se o marido exige o cumprimento do débito conjugal, previsto no Código Civil. | c) A mulher não pode alegar violência doméstica, se lhe for negado pelo companheiro, por razões religiosas, o uso de contraceptivo. | d) A injúria é crime que está regulado no Código Penal, pelo que não prevalece o bis in idem para qualificá-la como ato de violência contra a mulher. | e) Traduz violência patrimonial contra a mulher, passível de enquadramento na lei própria, a destruição parcial ou total de seus instrumentos de trabalho.",E,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,17,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
484,2460051,FUNDATEC,ACS (Pref Porto Alegre)/Pref Porto Alegre/2023,2023,"Rute, de 75 anos de idade, viúva, com múltiplos problemas de saúde, reside com a filha Teresa, de 42 anos de idade, e seu esposo João, de 49 anos de idade. Sempre que o casal discute, entre outros motivos, pelo ciúme de João para com a esposa, Rute fica muito nervosa e passa mal. Algumas vezes já aconteceu de João agredir fisicamente a esposa e verbalmente a sogra, que fica preocupada com a possibilidade da situação se agravar, pois João tem uma arma em casa. Considerando essa situação hipotética, assinale a opção correta, com base na Lei Maria da Penha.","a) As situações vivenciadas por Rute podem ser classificadas como violência psicológica, que é entendida como qualquer conduta que cause dano emocional e diminuição da autoestima ou que cause prejuízo à saúde psicológica. | b) Caso Teresa e Rute sejam agredidas fisicamente e registrem uma ocorrência contra João, compete à autoridade policial conceder medida protetiva de urgência no prazo de 24 horas e aguardar que o juiz faça a solicitação do pedido de exame de corpo de delito. | c) Mesmo que Teresa comunique no ato da ocorrência o porte de arma por João, a autoridade policial está impedida de registrar essa informação, por se tratar de competência exclusiva do Sistema Nacional de Armas. | d) O juiz pode decretar a prisão preventiva de João somente quando o inquérito policial estiver concluído, por ter caráter irrevogável.",A,U1,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,18,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
534,2028910,CEBRASPE (CESPE),Assist Soc (FUB)/FUB/2022,2022,"Considere as afirmações abaixo. I - Para os efeitos da Lei, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause morte, lesão, sofrimento físico, sexual ou psicológico e dano moral ou patrimonial. II - Para os efeitos da Lei, apenas configura violência doméstica contra a mulher a ação praticada pelo marido, no espaço restrito do âmbito familiar. III - A política pública que visa a coibir a violência doméstica e familiar contra a mulher far-se-á por meio de um conjunto articulado de ações da União, dos Estados, do Distrito Federal e dos Municípios e de ações não governamentais. IV - Constatada a prática de violência doméstica e familiar contra a mulher, o Delegado poderá suspender a posse de armas do agressor, sendo vedadas, sempre, medidas arbitrárias como o afastamento do lar, pelo princípio constitucional de proteção da família. Quais estão de acordo com a Lei Federal nº 11.340, de 07 de agosto de 2006, que cria mecanismos para coibir a violência doméstica e familiar contra a mulher e dá outras providências?","a) Apenas I, II e III. | b) Apenas II e IV. | c) Apenas II e III. | d) Apenas I e III. | e) Apenas III e IV.",D,U1+U2,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,29,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
561,3095842,EJUD PI,Estag (TJ PI)/TJ PI/Serviço Social/2022,2022,"A vítima de violência, por meio da lei que garante a assistência à mulher em situação de violência doméstica e familiar, pode ter:","a) manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, por até seis meses; | b) manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, por até 03 meses; | c) manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, por até um ano; | d) manutenção do vínculo trabalhista, quando necessário o afastamento do local de trabalho, pelo período de seis meses a um ano; | e) Não a possibilidade de manter o vínculo trabalhista em caso de afastamento do local;",A,U2,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 401 ao 600.pdf,35,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
574,2748613,IVIN,CSoc (Pref Estreito)/Pref Estreito/2022,2022,Analise as afirmativas; marque V para as verdadeiras e F para as falsas. ( ) Cabe singularmente à União criar condições necessárias para o efetivo exercício dos direitos vinculados à proteção da mulher contra a violência doméstica. ( ) Com relação à violência doméstica contra a mulher pode- -se afirmar que se constitui em uma das formas de violação dos direitos da pessoa humana. ( ) É atribuição exclusiva do Município onde a mulher reside desenvolver políticas públicas que coíbam a violência doméstica contra a mulher. ( ) É direito da mulher em situação de violência doméstica e familiar o atendimento policial e pericial especializado. A sequência está correta em,"a) F, F, F, F. | b) F, V, F, V. | c) V, F, V, F. | d) V, V, V, V.",B,,,BANCO_GERAL_MISSAO_FINAL,ATUAL,media,Caderno Lei Maria da Penha - 401 ao 600.pdf,38,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
577,2505524,FUNDATEC,AEI (Paim Filho)/Pref Paim Filho/2022,2022,"No que diz respeito à violência doméstica e familiar contra a mulher, objeto da Lei nº 11.340/2006 (Lei Maria da Penha), assinale a afirmativa correta.","a) A pena por crime de violência doméstica admite substituição por quaisquer das penas restritivas de direitos. | b) A denúncia por lesão corporal contra o agressor não é condicionada à representação da ofendida. | c) A situação de violência doméstica depende de coabitação, atual ou pretérita, entre agressor e ofendida. | d) A legislação sobre violência doméstica não se aplica a relações homoafetivas entre duas mulheres. | e) O descumprimento de uma medida protetiva de urgência, por si só, não constitui crime.",B,U5,,PRATICA_UNIDADE,ATUAL,media,Caderno Lei Maria da Penha - 401 ao 600.pdf,38,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
606,1752622,CEBRASPE (CESPE),Prom Jus (MPE SC)/MPE SC/2021,2021,Considerando o diploma legal conhecido como Lei Maria da Penha (Lei nº 11.340/2006) e a jurisprudência dos Tribunais Superiores sobre a violência doméstica e familiar contra a mulher é possível afirmar que:,"a) Os crimes praticados com violência doméstica e familiar contra a mulher não admitem transação penal, mesmo que a pena máxima cominada não ultrapasse os dois anos. | b) Em qualquer hipótese, é vedada a substituição da pena privativa de liberdade por restritiva de direitos, nos casos de violência doméstica e familiar contra a mulher. | c) A caracterização da violência doméstica e familiar contra a mulher exige que agressor e vítima coabitem ou ao menos tenham coabitado. | d) A suspensão condicional do processo, por não ser aplicável somente às infrações de menor potencial ofensivo, aplica-se aos casos de violência doméstica e familiar contra a mulher, nada obstante a vedação estabelecida pela Lei Maria da Penha. | e) O crime de lesão corporal leve praticado contra mulher no âmbito doméstico e familiar enseja a propositura de ação penal pública condicionada à representação.",A,U5,,PRATICA_UNIDADE,ATUAL,alta,Caderno Lei Maria da Penha - 601 ao 800.pdf,1,NOVA_CONFIRMADA,"Nenhum match em TEC ID, enunciado exato ou similaridade >= 0.35",false,sim
