caderno_numero,tec_id,banca,concurso,ano,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
211,3588587,VUNESP,GM (Itatiba)/Pref Itatiba/2025,2025,"A Lei nº 11.340/2006 – Lei Maria da Penha elenca, entre outras possíveis, as formas de violência doméstica e familiar contra a mulher. Sobre…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 2): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,2
212,3586559,Instituto ACCESS,ASoc (Pref Apiaí)/Pref Apiaí/2025,2025,"A Lei Maria da Penha define os contextos em que se configura a violência doméstica e familiar contra a mulher, destacando que essa violência…",NEAR_DUPLICATE_REVISAR,861,,,NAO_IMPORTAR,baixa,"Similaridade 0.365 com questao existente id 861 (camada C_SIMILARIDADE); revisar antes de decidir NOVA ou JA_EXISTE.",Caderno Lei Maria da Penha - 201 ao 400.pdf,2
213,3585297,VUNESP,ASoc (Pref Itatiba)/Pref Itatiba/2025,2025,"Um assistente social da Unidade Básica de Saúde atende a sra. Meire, 25 anos, casada com João e mãe de Sofia, de 03 anos, e de Luís, 05 anos…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,2
214,3576764,EDUCA PB,ASoc (Pref Pedras de Fogo)/Pref Pedras de Fogo/2025,2025,"De acordo com o art. 5º da Lei Maria da Penha (Lei nº 11.340/2006), que configura violência doméstica e familiar contra a mulher qualquer aç…",NEAR_DUPLICATE_REVISAR,861,,,NAO_IMPORTAR,baixa,"Similaridade 0.486 com questao existente id 861 (camada C_SIMILARIDADE); revisar antes de decidir NOVA ou JA_EXISTE.",Caderno Lei Maria da Penha - 201 ao 400.pdf,2
215,3574305,CPCON UEPB,Edu (Pref Pombal)/Pref Pombal/Social/2025,2025,"A Lei nº 11.340, de 07 de agosto de 2006, conhecida como a Lei Maria da Penha, considera como formas de violência doméstica e familiar contr…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
216,3567138,AMEOSC,Psico (Pref Palma Sola)/Pref Palma Sola/2025,2025,"A Lei Maria da Penha foi criada para prevenir, punir e erradicar a violência doméstica e familiar contra a mulher no Brasil, estabelecendo m…",NOVA,,U4,,PRATICA_UNIDADE,alta,Revisao manual completa: Correta trata de medida protetiva de urgencia concedida independentemente de processo criminal (art. 19).,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
217,3564240,IGEDUC,ASoc (Pref Japaratinga)/Pref Japaratinga/2025,2025,"De acordo com o art. 6º da Lei nº 11.340/2006, assinale a alternativa CORRETA:",NOVA,,U1,6,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 6. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
218,3543629,ESMAL,Est (MPE PI)/MPE PI/Graduação/Serviço Social/2025,2025,"Maria e João mantinham união estável há três anos, baseado na Lei Maria da Penha marque a alternativa CORRETA:",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 2): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
219,3543432,ESMAL,Est (MPE PI)/MPE PI/Graduação/Psicologia/2025,2025,violência doméstica contra a mulher pode assumir diversas formas. Analise as situações abaixo e assinale aquela que corresponde à violência …,NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
220,3528682,IDCAP,FTNS (SESAB)/SESAB/Assistente Social/2025,2025,"De acordo com a Lei Maria da Penha, a violência doméstica contra a mulher deve ser abordada sob diversas formas. Nesse contexto assinale a a…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,3
221,3526989,Instituto AOCP,Prom Jus (MPE MA)/MPE MA/2025,2025,"Paula registrou boletim de ocorrência contra seu ex-companheiro, Fábio, com quem conviveu em união estável por cinco anos. Segundo o relato …",NOVA,,U1,,PRATICA_UNIDADE,alta,"Revisao manual completa: Correta reconhece violencia psicologica prevista expressamente no art. 7º (a mencao ao art. 147-B do CP e complementar, nao desloca o nucleo do teste).",Caderno Lei Maria da Penha - 201 ao 400.pdf,4
222,3520358,FACAPE,Ed Soc (Pref Afrânio)/Pref Afrânio/2025,2025,"A Lei Maria da Penha nº 11.340/2006 no Art. 5ª, caracteriza os espaços de violência doméstica e familiar praticados contra a mulher, sendo e…",NOVA,,U1,5,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 5. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,4
223,3517979,OBJETIVA CONCURSOS,MTP (Pref Lapa)/Pref Lapa/2025,2025,"Em concordância com a Lei nº 11.340/2006 - Lei Maria da Penha, são formas de violência doméstica e familiar contra a mulher, EXCETO:",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,4
224,3512923,IGEDUC,ASoc (Pref Calumbi)/Pref Calumbi/2025,2025,A violência doméstica e familiar contra a mulher constitui uma das formas de violação dos direitos humanos. No que se refere as formas de vi…,NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 5): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,4
225,3502460,OBJETIVA CONCURSOS,ASoc (Pref Vanini (RS))/Pref Vanini (RS)/2025,2025,"Considerando a Lei nº 11.340/2006 — Lei Maria da Penha, assinalar a alternativa que configura violência psicológica.",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,5
226,3501428,CEV UECE,Sold (PM CE)/PM CE/2025,2025,"De acordo com a Lei Maria da Penha, são previstos cinco tipos de violência doméstica e familiar contra a mulher, quais sejam:",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,5
227,3500154,CEBRASPE (CESPE),Psic (PF)/PF/Clínico/2025,2025,"Com base no disposto na Lei n.º 11.340/2006 (Lei Maria da Penha), julgue o item a seguir. Suponha que Juliana mantenha, há 7 anos, união est…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 2): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,5
228,3497447,COGEPS UNIOESTE,GM (Pref Cianorte)/Pref Cianorte/2025,2025,"De acordo com a Lei Federal nº 11.340 de 2006 (Lei Maria da Penha), pode-se dizer são formas de violência doméstica e familiar contra a mulh…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 5): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,5
229,3496113,Instituto SECPLAN,GCM (Pref Pres Kennedy)/Pref Pres Kennedy/2025,2025,"O guarda municipal João atua, cotidianamente, em vigilância na área de determinada escola municipal, sendo pessoa querida dos professores, p…",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,5
230,3490211,FUNDATEC,Aux SG (CM Cerro Grande)/CM Cerro Grande/2025,2025,"Durante uma formação sobre a Lei Maria da Penha, Lei nº 11.340/2006, foram discutidas as diferentes manifestações de violência doméstica e f…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,5
231,3486856,FUNDATEC,Sold Bomb (CBM RS)/CBM RS/2025,2025,"Para responder a questão, considere a Lei nº 11.340/2006 (conhecida como Lei Maria da Penha). De acordo com o disposto na referida Lei sobre…",JA_EXISTE,347,,,NAO_IMPORTAR,alta,"Camada C_REVISAO_HUMANA; ja existe no banco como questao id 347.",Caderno Lei Maria da Penha - 201 ao 400.pdf,6
232,3486853,FUNDATEC,Sold Bomb (CBM RS)/CBM RS/2025,2025,"Para responder a questão, considere a Lei nº 11.340/2006 (conhecida como Lei Maria da Penha). Considerando o disposto na referida Lei, anali…",JA_EXISTE,346,,,NAO_IMPORTAR,alta,"Camada C_REVISAO_HUMANA; ja existe no banco como questao id 346.",Caderno Lei Maria da Penha - 201 ao 400.pdf,6
233,3478384,CEBRASPE (CESPE),Ag OSS (CAESB)/CAESB/Operador de Estação de Tratamento/2025,2025,A Lei Maria da Penha (Lei n.º 11.340/2006) considera como formas de violência doméstica e familiar contra a mulher,NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 5): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,6
234,3475689,CEBRASPE (CESPE),Tec SS (CAESB)/CAESB/Técnico de Edificações/2025,2025,"De acordo com a Lei Maria da Penha (Lei n.º 11.340/2006), a violência moral contra a mulher é configurada pela prática de conduta que",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,7
235,3467391,Instituto Consulplan,Ass Soc (Niterói Prev)/Niterói Prev/2025,2025,As Nações Unidas definem a violência contra as mulheres como “qualquer ato de violência de gênero que resulte ou possa resultar em danos ou …,NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,7
236,3464975,FUNDATEC,Cont (CRC RS)/CRC RS/2025,2025,"Considerando os aspectos gerais da Lei no 11.340/2006, Lei Maria da Penha, assinale a alternativa correta.",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,7
237,3459059,Unifil,Op PS (Pref Alvorada do Sul)/Pref Alvorada do Sul/2025,2025,"Sobre as formas de violência doméstica e familiar contra a mulher, previstas na Lei Federal nº 11.340/2006, analise as assertivas e assinale…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,7
238,3453660,IBAM,GCM (Pref Arapiraca)/Pref Arapiraca/2025,2025,"A Lei nº 11.340 de 2006, Lei Maria da Penha, estabelece que “qualquer conduta que configure retenção, subtração, destruição parcial ou total…",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,7
239,3435447,UNESC,Mon (Pref Maracajá)/Pref Maracajá/2025,2025,"Em uma palestra para conscientização de estudantes sobre violência doméstica, o palestrante pergunta quais condutas podem ser consideradas v…",NOVA,,U1,7,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 7. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,7
240,3424637,VUNESP,Cuid Soc (Itapevi)/Pref Itapevi/2025,2025,O artigo 7º da Lei Maria da Penha apresenta as formas de violência doméstica e familiar contra a mulher. São elas:,NOVA,,U1,7,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 7. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,8
241,3407936,CEBRASPE (CESPE),Ana (EMBRAPA)/EMBRAPA/Gestão de Pessoas/Saúde Ocupacional/2025,2025,"Com base nas disposições da lei que disciplina o Sistema Nacional de Políticas Públicas sobre Drogas e da Lei Maria da Penha, julgue o item …",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,8
242,3379851,AVANÇASP,Ori Soc (Pref Caieiras)/Pref Caieiras/2025,2025,"Mariana vive um relacionamento abusivo com Roberto, que frequentemente a obriga a manter relações sexuais contra sua vontade, utilizando ame…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,8
243,3379836,AVANÇASP,Ori Soc (Pref Caieiras)/Pref Caieiras/2025,2025,"Carla vive um relacionamento com Lucas, que frequentemente a manipula emocionalmente, fazendo-a sentir-se culpada por situações que não come…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,8
244,3375655,FUNDATEC,Peda Soc (Pref Tangará da S)/Pref Tangará da S/2025,2025,"Em um relacionamento abusivo, o parceiro de uma mulher controla todas as suas redes sociais, impedindo-a de manter contato com amigos e fami…",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,8
245,3374318,CEBRASPE (CESPE),Ana Min (MPE CE)/MPE CE/Direito/2025,2025,"Julgue o item que se segue, com base nas disposições das Leis n.º 9.613/1998, n.º 11.340/2006 e n.º 11.343/2006. A coabitação entre autor e …",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,8
246,3371310,OBJETIVA CONCURSOS,ACS (Pref Horizontina)/Pref Horizontina/2025,2025,"Segundo a Lei nº 11.340/2006 - Lei Maria da Penha, NÃO configura violência doméstica e familiar contra a mulher:",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,9
247,3371309,OBJETIVA CONCURSOS,ACS (Pref Horizontina)/Pref Horizontina/2025,2025,"Segundo a Lei nº 11.340/2006 - Lei Maria da Penha, NÃO configura violência doméstica e familiar contra a mulher:",DUPLICATA_PDF,,,,NAO_IMPORTAR,,Enunciado (e alternativas) identico ao ja extraido do caderno 246 (TEC 3371310),Caderno Lei Maria da Penha - 201 ao 400.pdf,9
248,3370534,OBJETIVA CONCURSOS,Mon Soc (Pref Galvão)/Pref Galvão/2025,2025,"Com base na Lei nº 11.340/2006 − Lei Maria da Penha, analisar o caso. G., ex-marido de E., publica em suas redes sociais que E. está utiliza…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 4): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,9
249,3849975,FUNDATEC,Elet (Pref Imbé)/Pref Imbé/2025,2025,"Considerando as disposições da Lei nº 11.340/2006, Lei Maria da Penha, assinale a alternativa correta.",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 3): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,9
250,3367319,FUNDATEC,Ed FS (Pref Tangará da S)/Pref Tangará da S/2025,2025,"Muitas vezes, o profissional de Educação Física que atua na assistência social ou na saúde pública se depara com mulheres que foram vítimas …",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,9
251,3366976,Instituto CONSULPAM,GM (Pref Chorozinho)/Pref Chorozinho/2025,2025,"A Lei n.º 11.340/2006, ou Lei Maria da Penha, foi criada para prevenir e combater a violência doméstica e familiar contra a mulher, estabele…",PROBLEMATICA,,,,NAO_IMPORTAR,,"Provavel erro de extracao do PDF: a alternativa (c) tem uma virgula que veio como ponto final seguido de continuacao em minusculas (""...da vitima. independentemente bastando...""), sugerindo texto fora de ordem. Revisar manualmente contra o PDF original.",Caderno Lei Maria da Penha - 201 ao 400.pdf,15
252,3363055,FUNDATEC,ASoc (Tangará S)/Pref Tangará da S/2025,2025,"Para os efeitos da Lei nº 10.741/2003, Lei Maria da Penha, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão…",NEAR_DUPLICATE_REVISAR,861,,,NAO_IMPORTAR,baixa,"Similaridade 0.442 com questao existente id 861 (camada C_SIMILARIDADE); revisar antes de decidir NOVA ou JA_EXISTE.",Caderno Lei Maria da Penha - 201 ao 400.pdf,15
253,3349908,VUNESP,ASJ (TJ SP)/TJ SP/2025,2025,A violência contra as mulheres constitui uma expressão da relação de desigualdade entre homens e mulheres. É uma violência baseada na afirma…,NOVA,,U1,7,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): artigo citado no texto: 7. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,15
254,3340738,SELECON,Ass Soc (Pref Sinop)/Pref Sinop/2025,2025,"Fabrícia e Ana mantêm um relacionamento homoafetivo há 3 anos. Atualmente, Fabrícia tem se descontrolado muito, em função de ciúmes, levando…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 1): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,15
255,3293688,FUNDATEC,GM (Pref Porto Alegre)/Pref Porto Alegre/2025,2025,"No interior do prédio de uma repartição pública do Município, ocorreu uma discussão entre um casal que estava aguardando o atendimento. O ca…",JA_EXISTE,735,,,NAO_IMPORTAR,alta,"Camada A_TEC_ID; ja existe no banco como questao id 735.",Caderno Lei Maria da Penha - 201 ao 400.pdf,15
256,3293650,FUNDATEC,GM (Pref Porto Alegre)/Pref Porto Alegre/2025,2025,"Aline é casada com Arthur há 7 anos, e desde a pandemia está trabalhando quase integralmente em sua casa, indo até o escritório apenas uma o…",JA_EXISTE,734,,,NAO_IMPORTAR,alta,"Camada A_TEC_ID; ja existe no banco como questao id 734.",Caderno Lei Maria da Penha - 201 ao 400.pdf,11
257,3259252,FGV,Del Pol (PC MG)/PC MG/2025,2025,"Carolina, Delegada de Polícia em uma unidade policial especializada em Belo Horizonte/MG, tomou as declarações, evitando-se a revitimização …",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,11
258,3238223,CEBRASPE (CESPE),GAAPC (PC DF)/PC DF/Analista de Informática/Banco de Dados/2025,2025,"Considerando o disposto na Lei Maria da Penha (Lei n.º 11.340/2006) e, no que couber, o entendimento dos tribunais superiores, julgue o item…",NOVA,,,,BANCO_GERAL_MISSAO_FINAL,baixa,"Nenhum sinal de artigo ou vocabulario tematico detectado automaticamente; nao lida individualmente nesta fase.",Caderno Lei Maria da Penha - 201 ao 400.pdf,11
259,3237915,CEBRASPE (CESPE),AAAPC (PC DF)/PC DF/Agente Administrativo/2025,2025,"Julgue o item a seguir, considerando as disposições da Lei Maria da Penha (Lei n.º 11.340/2006). Configura violência doméstica e familiar co…",NOVA,,U1,,BANCO_GERAL_MISSAO_FINAL,baixa,Classificacao heuristica (nao lida individualmente nesta fase): vocabulario tematico (score 2): U1. Recomenda-se leitura dedicada antes de usar como pratica de unidade.,Caderno Lei Maria da Penha - 201 ao 400.pdf,11
260,3212927,IDECAN,Of (PM BA)/PM BA/Auxiliar/2025,2025,"Na forma da Lei Maria da Penha, nome pelo qual ficou popularmente conhecido o instrumento que criou mecanismos para coibir a violência domés…",NOVA,,U1,,PRATICA_UNIDADE,alta,"Revisao manual completa: Testa a definicao de violencia psicologica do art. 7º, V.",Caderno Lei Maria da Penha - 201 ao 400.pdf,11
