id,materia,assunto,banca,concurso,ano,status,enunciado_inicio,cursos,n_cursos,unidades_pedagogicas,n_unidades,gerada_por_ia
116,Língua Portuguesa,Concordância verbal,Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_INCOMPLETA,"Na frase “os jovens renovam o vocabulário, reforçam sua superioridade sobre os caquéticos e mantêm a classific",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
304,Língua Portuguesa,Concordância verbal,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa correta.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
318,Língua Portuguesa,Concordância verbal,Fundatec,Guarda Municipal de Gravataí/RS - Concurso Público nº 01/2025,2026,EXPLICACAO_INCOMPLETA,"Em “Durante a fase de crescimento, esse ponteiro tem duas horas de atraso em relação às crianças e adultos”, s",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
17,Língua Portuguesa,Interpretação de textos,Papiro - estilo Fundatec,Brigada Militar do Rio Grande do Sul,,EXPLICACAO_INCOMPLETA,"Em um texto argumentativo, a tese corresponde:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
65,Língua Portuguesa,Interpretação de textos,Fundatec,Brigada Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Considerando o exposto pelo texto-base, analise as assertivas a seguir: I. Na construção do texto, o autor uti",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
306,Língua Portuguesa,Interpretação de textos,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,"Em interpretação textual, uma inferência válida deve:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
18,Língua Portuguesa,Redação oficial,Papiro - estilo Fundatec,Brigada Militar do Rio Grande do Sul,,EXPLICACAO_INCOMPLETA,"Segundo as características da redação oficial, a comunicação administrativa deve priorizar:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
73,Língua Portuguesa,Redação oficial,Fundatec,Brigada Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,A respeito da formatação de documentos oficiais padrão ofício de acordo com o Manual de Redação da Presidência,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
117,Língua Portuguesa,Redação oficial,Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_GENERICA,"Em relação à redação oficial, avalie as afirmações que seguem: I. Na redação oficial, quem comunica é sempre o",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
118,Língua Portuguesa,Redação oficial,Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_GENERICA,"Na redação oficial, considerando um documento endereçado ao Presidente da República, avalie as afirmações: I. ",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
34,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",Fundatec,,,EXPLICACAO_INCOMPLETA,"No trecho: “Devorou ao caçador o leão, depois perseguiram-no e trouxeram-no para o barco. Os complementos verb",(banco geral),0,(nenhuma),0,false
123,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_GENERICA,"Em relação à frase “Quem for diferente da sua tribo lhes parecerá sem noção”, afirma-se que: I. “Quem for dife",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
283,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,"Na frase “O servidor entregou o documento ao chefe”, o termo “o documento” é:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
284,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,"Em “A decisão foi tomada pelo comandante”, o termo “pelo comandante” exerce função de:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
332,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Considerando as possibilidades de reescrita e os termos que compõem a voz passiva, analise o trecho a seguir: ",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
120,Língua Portuguesa,Regência verbal e nominal,Fundatec,Brigada Militar RS - Soldado Nível III,2022,EXPLICACAO_GENERICA,"Considerando o uso dos pronomes relativos e os aspectos próprios da regência, assinale a alternativa que preen",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
281,Língua Portuguesa,Regência verbal e nominal,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa de acordo com a norma-padrão.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
282,Língua Portuguesa,Regência verbal e nominal,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,Assinale a frase correta quanto à regência.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
219,Língua Portuguesa,Colocação pronominal,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa que apresenta próclise corretamente empregada.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
220,Língua Portuguesa,Colocação pronominal,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,"Em “Jamais se esquecerá daquele dia”, o pronome “se” aparece antes do verbo porque:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
221,Língua Portuguesa,Colocação pronominal,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa com colocação pronominal adequada à norma-padrão.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
216,Língua Portuguesa,Acentuação gráfica,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa em que todas as palavras estão corretamente acentuadas.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
217,Língua Portuguesa,Acentuação gráfica,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,A palavra “lâmpada” é acentuada por ser:,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
218,Língua Portuguesa,Acentuação gráfica,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a palavra cuja acentuação se justifica por ser oxítona terminada em “a”.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
679,Língua Portuguesa,Acentuação gráfica,Fundatec,Esc Pol (PC RS)/PC RS/2026,2026,EXPLICACAO_GENERICA,"A finalidade da sociedade e o bem comum Por Gazeta do Povo As pessoas, convivendo em sociedade, desejam alcanç",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
680,Língua Portuguesa,Acentuação gráfica,Fundatec,GM (Pref Gravataí)/Pref Gravataí/2026,2026,EXPLICACAO_GENERICA,Repor o sono no fim de semana pode ajudar a saúde mental dos jovens Por Diego Facundini Compensar as noites ma,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
681,Língua Portuguesa,Acentuação gráfica,Fundatec,GM (Pref Araquari)/Pref Araquari/2026,2026,EXPLICACAO_GENERICA,"Quem foi Carl Sagan, o cientista que desvendou o cosmos e combateu a desinformação Por Redação National Geogra",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
744,Língua Portuguesa,Acentuação gráfica,Fundatec,GM (Pref Porto Alegre)/Pref Porto Alegre/2025,2025,EXPLICACAO_GENERICA,Modo Avião Por Pedro GuerraA brevidade de todas as coisas me assusta. ___ anos falamos sobre a obsolescência p,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
745,Língua Portuguesa,Acentuação gráfica,Fundatec,Del Pol (PC RS)/PC RS/2025,2025,EXPLICACAO_GENERICA,Considere o texto a seguir para responder a questão Violência: Problema social que afeta multidões Por Nalim T,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
746,Língua Portuguesa,Acentuação gráfica,Fundatec,Per Crim (IGP RS)/IGP RS/Contabilidade e Economia/2025,2025,EXPLICACAO_GENERICA,"Quando os resultados de um artigo científico são muito surpreendentes, desconfie: pode ser mentira provocada p",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
747,Língua Portuguesa,Acentuação gráfica,Fundatec,Tec Per (IGP RS)/IGP RS/Técnico em Química/2025,2025,EXPLICACAO_GENERICA,Como a capacitação digital está transformando o mercado de trabalho Por Alexandre Max Com o avanço das tecnolo,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
748,Língua Portuguesa,Acentuação gráfica,Fundatec,GCM (Pref St'a Livramento)/Pref St'a Livramento/2025,2025,EXPLICACAO_GENERICA,Anda raro a gente flagrar alguém se emocionando de verdade Por Martha Medeiros Ando sentimental. Quase fui às ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
872,Língua Portuguesa,Acentuação gráfica,Fundatec,Profis (Pref Viamão)/Pref Viamão/Magistério para Educação Infantil/2022,2022,EXPLICACAO_GENERICA,Vacina contra a dengue desenvolvida pelo Butantan entra na reta final de estudos clínicos Nem só ao combate à ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
873,Língua Portuguesa,Acentuação gráfica,Fundatec,TA Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Três anos de um Rio Grande mais seguro para viver e investirPor Ranolfo Vieira Junior Chegamos em 2022 com a c,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
874,Língua Portuguesa,Acentuação gráfica,Fundatec,TA Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Três anos de um Rio Grande mais seguro para viver e investirPor Ranolfo Vieira Junior Chegamos em 2022 com a c,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
875,Língua Portuguesa,Acentuação gráfica,Fundatec,Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Como seriam as coisas se a humanidade tratasse a mudança climática como uma emergência real Por Jason Hickel 5,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
231,Língua Portuguesa,Estrutura e formação de palavras,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,A palavra “infeliz” é formada por:,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
232,Língua Portuguesa,Estrutura e formação de palavras,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,A palavra “felizmente” resulta de:,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
233,Língua Portuguesa,Estrutura e formação de palavras,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,A palavra “passatempo” é exemplo de:,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
336,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,Assinale a alternativa que apresenta palavra na qual NÃO haja a ocorrência do prefixo “in-” com o mesmo sentid,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
685,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Esc Pol (PC RS)/PC RS/2026,2026,EXPLICACAO_GENERICA,"A finalidade da sociedade e o bem comum Por Gazeta do Povo As pessoas, convivendo em sociedade, desejam alcanç",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
753,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Tec Per (IGP RS)/IGP RS/Técnico em Química/2025,2025,EXPLICACAO_GENERICA,Como a capacitação digital está transformando o mercado de trabalho Por Alexandre Max Com o avanço das tecnolo,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
754,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Del Pol (PC RS)/PC RS/2025,2025,EXPLICACAO_GENERICA,Considere o texto a seguir para responder a questão Violência: Problema social que afeta multidões Registros a,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
755,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,GCM (Pref St'a Livramento)/Pref St'a Livramento/2025,2025,EXPLICACAO_GENERICA,Anda raro a gente flagrar alguém se emocionando de verdade Por Martha Medeiros Ando sentimental. Quase fui às ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
807,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,GCM (Uruguaiana)/Pref Uruguaiana/2023,2023,EXPLICACAO_GENERICA,A questão se refere ao texto abaixo. Estratégias para um estudo mais produtivo e realizador Por Alfredo Freita,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
880,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Profis (Pref Viamão)/Pref Viamão/Magistério para Educação Infantil/2022,2022,EXPLICACAO_GENERICA,Vacina contra a dengue desenvolvida pelo Butantan entra na reta final de estudos clínicos Nem só ao combate à ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
881,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Profis (Pref Viamão)/Pref Viamão/Magistério para Educação Infantil/2022,2022,EXPLICACAO_GENERICA,Vacina contra a dengue desenvolvida pelo Butantan entra na reta final de estudos clínicos Nem só ao combate à ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
882,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,Ag Sg Sc (SEJUSP MG)/SEJUSP MG/2022,2022,EXPLICACAO_GENERICA,Instrução: A questão refere-se ao texto abaixo. O destaque ao longo do texto está citado na questão. Medidas p,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
883,Língua Portuguesa,Estrutura e formação de palavras,Fundatec,TA Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Três anos de um Rio Grande mais seguro para viver e investirPor Ranolfo Vieira Junior Chegamos em 2022 com a c,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
234,Língua Portuguesa,Implícitos e subentendidos,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,"Na frase “Até João acertou a questão”, o emprego de “até” permite inferir que:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
235,Língua Portuguesa,Implícitos e subentendidos,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,"Em “Pedro parou de fumar”, pressupõe-se que:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
236,Língua Portuguesa,Implícitos e subentendidos,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,"Em “Maria voltou a estudar”, fica pressuposto que:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
71,Língua Portuguesa,Classes de palavras,Fundatec,Brigada Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,Assinale a alternativa que classifica corretamente o sujeito da forma verbal “aproveitaram” no trecho a seguir,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
273,Língua Portuguesa,Classes de palavras,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,"Na frase “Os candidatos estudaram bastante”, a palavra “bastante” exerce função de:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
274,Língua Portuguesa,Classes de palavras,Papiro,PAPIRO - Adaptada do padrão Fundatec 2025/2026,2026,EXPLICACAO_INCOMPLETA,"Em “Aquela prova estava difícil”, a palavra “aquela” é classificada como:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
323,Língua Portuguesa,Classes de palavras,Fundatec,Guarda Municipal de Esteio/RS,2022,EXPLICACAO_INCOMPLETA,Assinale a alternativa que indica o número de artigos definidos presentes no trecho a seguir: “Pedro tem seu p,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
325,Língua Portuguesa,Classes de palavras,Fundatec,Guarda Municipal de Esteio/RS,2022,EXPLICACAO_INCOMPLETA,Assinale a alternativa na qual a palavra “que” NÃO esteja sendo empregada como pronome relativo.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
330,Língua Portuguesa,Classes de palavras,Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Considerando a palavra “e...tremidades” (l. 1 5), verifica-se que se trata de um ______________, cuja grafia c",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
331,Língua Portuguesa,Classes de palavras,Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Analise os trechos a seguir, retirados do texto-base: 1. “A partir do século XVI, com o desenvolvimento da Eur",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
335,Língua Portuguesa,Classes de palavras,Fundatec,Corpo de Bombeiros Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,"Assinale a alternativa que indica, correta e respectivamente, as classes de palavras às quais pertencem as pal",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
682,Língua Portuguesa,Classes de palavras,Fundatec,Esc Pol (PC RS)/PC RS/2026,2026,EXPLICACAO_GENERICA,"A finalidade da sociedade e o bem comum Por Gazeta do Povo As pessoas, convivendo em sociedade, desejam alcanç",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
683,Língua Portuguesa,Classes de palavras,Fundatec,Esc Pol (PC RS)/PC RS/2026,2026,EXPLICACAO_GENERICA,"A finalidade da sociedade e o bem comum Por Gazeta do Povo As pessoas, convivendo em sociedade, desejam alcanç",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
684,Língua Portuguesa,Classes de palavras,Fundatec,GM (Pref Gravataí)/Pref Gravataí/2026,2026,EXPLICACAO_GENERICA,Repor o sono no fim de semana pode ajudar a saúde mental dos jovens Por Diego Facundini Compensar as noites ma,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
749,Língua Portuguesa,Classes de palavras,Fundatec,GM (Pref Porto Alegre)/Pref Porto Alegre/2025,2025,EXPLICACAO_GENERICA,Modo Avião Por Pedro GuerraA brevidade de todas as coisas me assusta. ___ anos falamos sobre a obsolescência p,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
750,Língua Portuguesa,Classes de palavras,Fundatec,Del Pol (PC RS)/PC RS/2025,2025,EXPLICACAO_GENERICA,Considere o texto a seguir para responder a questão Violência: Problema social que afeta multidões Por Nalim T,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
751,Língua Portuguesa,Classes de palavras,Fundatec,Tec Per (IGP RS)/IGP RS/Técnico em Química/2025,2025,EXPLICACAO_GENERICA,Como a capacitação digital está transformando o mercado de trabalho Por Alexandre Max Com o avanço das tecnolo,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
752,Língua Portuguesa,Classes de palavras,Fundatec,GCM (Pref St'a Livramento)/Pref St'a Livramento/2025,2025,EXPLICACAO_GENERICA,Anda raro a gente flagrar alguém se emocionando de verdade Por Martha Medeiros Ando sentimental. Quase fui às ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
784,Língua Portuguesa,Classes de palavras,Fundatec,Arm (Pref Bagé)/Pref Bagé/2024,2024,EXPLICACAO_GENERICA,Segurança Por Luís Fernando Verissimo O ponto de venda mais forte do condomínio era a sua segurança. Havia as ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
806,Língua Portuguesa,Classes de palavras,Fundatec,GM (Pref Imbé)/Pref Imbé/2023,2023,EXPLICACAO_GENERICA,Uma advertência que vira virtude Por Fabrício Carpinejar “Você não é todo mundo!”Tratava-se de uma das mais ir,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
876,Língua Portuguesa,Classes de palavras,Fundatec,Profis (Pref Viamão)/Pref Viamão/Magistério para Educação Infantil/2022,2022,EXPLICACAO_GENERICA,Vacina contra a dengue desenvolvida pelo Butantan entra na reta final de estudos clínicos Nem só ao combate à ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
877,Língua Portuguesa,Classes de palavras,Fundatec,Ag Sg Sc (SEJUSP MG)/SEJUSP MG/2022,2022,EXPLICACAO_GENERICA,Instrução: A questão refere-se ao texto abaixo. O destaque ao longo do texto está citado na questão. Medidas p,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
878,Língua Portuguesa,Classes de palavras,Fundatec,TA Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Três anos de um Rio Grande mais seguro para viver e investirPor Ranolfo Vieira Junior Chegamos em 2022 com a c,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
879,Língua Portuguesa,Classes de palavras,Fundatec,Pol Pen (PP RS)/PP RS/2022,2022,EXPLICACAO_GENERICA,Como seriam as coisas se a humanidade tratasse a mudança climática como uma emergência real Por Jason Hickel 5,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
237,Língua Portuguesa,Pontuação,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a alternativa corretamente pontuada.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
238,Língua Portuguesa,Pontuação,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,Assinale a frase em que a vírgula está empregada corretamente.,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
239,Língua Portuguesa,Pontuação,Papiro,PAPIRO - Estilo Fundatec - BM RS,2026,EXPLICACAO_INCOMPLETA,"A vírgula não deve, em regra, separar:",Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
72,Língua Portuguesa,Reescrita de frases e textos,Fundatec,Brigada Militar RS - Soldado de Primeira Classe,2025,EXPLICACAO_GENERICA,Assinale a alternativa que apresenta uma reescrita do trecho a seguir que esteja de acordo com a norma-padrão ,Brigada Militar do Rio Grande do Sul — Soldado de Primeira Classe,1,(nenhuma),0,false
