caderno_numero,tec_id,banca,concurso,ano,gabarito,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
11,3443924,FGV,DP PE/DPE PE,2025,D,"A Lei nº 11.340/2006, que cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher, também chamada de “Lei Maria da Pen…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,3
12,3587594,AMEOSC,Ass So (Pref Guaraciaba (SC))/Pref Guaraciaba (SC),2025,C,"A Lei nº 11.340/2006, conhecida como Lei Maria da Penha, representa um marco legal no combate à violência doméstica e familiar contra a mulher no Bras…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,3
13,3750684,FUNDATEC,At Ger (Pref Soledade (RS))/Pref Soledade (RS),2025,D,"A Lei nº 11.340/2006, Lei Maria da Penha, tem como objetivo:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,3
14,3671174,FAFIPA,Adv (Pref Terra Boa)/Pref Terra Boa,2025,C,"A Lei nº 11.340/2006, conhecida como Lei Maria da Penha, foi criada para prevenir, punir e erradicar a violência doméstica e familiar contra a mulher.…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,3
15,2541091,AMAUC,ESoc (Pref Seara)/Pref Seara,2025,C,"A Lei Maria da Penha assegura que toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade o…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,4
16,3715468,OBJETIVA CONCURSOS,CSoc (Pref SJ Ouro)/Pref SJ do Ouro,2025,B,"A Conferência das Nações Unidas sobre Direitos Humanos (Viena, 1993) reconheceu formalmente a violência contra as mulheres como uma das formas de viol…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,4
17,3424633,VUNESP,Cuid Soc (Itapevi)/Pref Itapevi,2025,E,"Segundo o Atlas da Violência, publicado pelo IPEA em 2024, “entre 2012 e 2022, dentre as violências analisadas, mulheres são 60,1% das vítimas e, port…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,4
18,3293690,FUNDATEC,GM (Pref Porto Alegre)/Pref Porto Alegre,2025,C,Qual é o órgão responsável por dar atenção especial e prioridade às situações dispostas na Lei Maria da Penha?,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,4
19,3675942,FUNDATEC,Aux (Pref Estância Velha)/Pref Estância Velha/Agente Administrativo,2025,E,A Lei Maria da Penha tem como objetivo primordial:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,4
20,3295001,OBJETIVA CONCURSOS,Ag (Pref S Leopoldina)/Pref S Leopoldina/Serviços Gerais,2024,C,"Com 18 anos de existência, a Lei Maria da Penha se consolidou como um instrumento fundamental na luta contra a violência:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
21,3053387,OBJETIVA CONCURSOS,Cont (Pref Pato Bragado)/Pref Pato Bragado,2024,A,"A respeito da Lei Maria da Penha, avaliar se as afirmativas são certas (C) ou erradas (E) e assinalar a sequência correspondente. ( ) A Lei busca prot…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
22,3448185,FUNDATEC,GCM (Pref Bagé)/Pref Bagé,2024,B,"A Lei nº 11.340/2006, conhecida como Lei Maria da Penha, foi criada com qual finalidade?",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
23,3426676,FUNATEC,Ed Soc (Pref Rosário (MA))/Pref Rosário (MA),2024,D,O que o § 1º do Art. 3º da Lei Maria da Penha estabelece:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
24,3426671,FUNATEC,Ed Soc (Pref Rosário (MA))/Pref Rosário (MA),2024,B,Indique qual é o objetivo principal da Lei Maria da Penha:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
25,2960657,Com Exam Pref Bauru,Ag Sau (Pref Bauru)/Pref Bauru/Agente Comunitário de Saúde,2024,A,"Atualmente, as mulheres têm o amparo da Lei Federal nº 11.340, de 7 de agosto de 2006, que caracteriza a violência doméstica como uma das formas de vi…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,5
26,3630972,FUNDATEC,ASG (CM Passo Sobrado)/CM Passo Sobrado,2024,D,A Lei Maria da Penha prevê que o Poder Público desenvolverá medidas para garantir os direitos humanos das mulheres dentro das relações domésticas e fa…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,6
27,2960658,Com Exam Pref Bauru,Ag Sau (Pref Bauru)/Pref Bauru/Agente Comunitário de Saúde,2024,C,"O papel do Agente Comunitário é fundamental ao enfrentamento da VIOLÊNCIA FAMILIAR, portanto na realização das visitas domiciliares de rotina deve-se …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,6
28,3377296,INAZ do Pará,Proc (Pref Luiz Alves)/Pref Luiz Alves,2024,A,A Lei Maria da Penha é uma legislação importante no Brasil que visa proteger as mulheres contra a violência doméstica. Compreender seus objetivos e di…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,6
29,3080567,IBFC,Pol Pen (DGPP GO)/DGPP GO,2024,C,"A Lei nº 11.340/2006, denominada Lei Maria da Penha, tem como principal objetivo:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,6
30,3085992,VUNESP,Assist Soc (Pref Osasco)/Pref Osasco,2024,A,"A Lei nº 11.340/2006, “Lei Maria da Penha”, cria mecanismos para coibir a violência doméstica e familiar contra a mulher. É um importante avanço no co…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,6
31,2840645,FUNDATEC,Moto (Pref Jari)/Pref Jari,2024,E,"Segundo a Lei nº 11.340/2006, Lei Maria da Penha, o poder público desenvolverá políticas que visem garantir os direitos humanos das mulheres no âmbito…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,7
32,3216517,Instituto Verbena,Ag (Pref Rio Branco (AC))/Pref Rio Branco (AC)/Social,2024,D,"Leia o texto a seguir. A violência de gênero é uma realidade preocupante que afeta milhares de mulheres em todo o Brasil, demandando medidas legislati…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,7
33,3183601,FGV,RMAPS (ENARE)/ENARE/Saúde Coletiva,2024,B,"A violência é um dos graves problemas da sociedade atual e responsável em parte pela mortalidade precoce de jovens. Sobre essa situação, assinale a af…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,7
34,3172432,ACAFE,Ass Soc (CELESC)/CELESC,2024,A,"Com base no que preconiza o Art. 2º da Lei nº 11.340, de 7 de agosto de 2006, analise as afirmações abaixo e assinale a CORRETA:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,7
35,3168881,CONSULPLAN,Estag (TJ MG)/TJ MG/Direito/Graduação,2024,C,"Na cidade Alfa, mulheres enfrentam uma série de desafios que comprometem o exercício efetivo de seus direitos fundamentais. Elas vivem em condições pr…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,8
36,3168462,FEPESE,Mon (Pref São José)/Pref São José,2024,A,Várias são as formas de agressões que são consideradas violência doméstica. Numere a coluna 2 identificando as respectivas formas de agressões conside…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,8
37,3599839,IBEC,GL (CM Tremedal)/CM Tremedal,2024,A,"A Lei que cria mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do § 8º do art. 226 da Constituição Federal, da Con…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,8
38,2859695,IGEDUC,GM (Pref Garanhuns)/Pref Garanhuns,2024,Certo,"A Lei Maria da Penha cria mecanismos para prevenir e coibir a violência doméstica e familiar contra a mulher, independentemente de sua orientação sexu…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,8
39,2856554,FUNDATEC,FOP (Pref Paraí (RS))/Pref Paraí (RS),2024,C,"Com base na Lei Maria da Penha, analise as assertivas abaixo: I. O Poder Público é um dos responsáveis por criar condições para o efetivo direito das …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,9
40,2827679,FUNDATEC,ACE (Pref Novo Hamburgo)/Pref Novo Hamburgo,2024,D,Assinale a alternativa INCORRETA considerando o disposto na Lei nº 11.340/2006 (Lei Maria da Penha) e suas atualizações.,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,9
41,3004377,Instituto Consulplan,Cui Soc (Pref Pouso Alegre)/Pref Pouso Alegre,2024,C,"Os casos de violência contra a mulher aumentaram consideravelmente durante o período do isolamento social da pandemia. Temos, no Brasil, a Lei nº 11.3…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,9
42,3503909,Instituto AVALIA,Ana Uni - SS (UESB)/UESB,2024,C,"A Lei nº 11.340, de 07 de agosto de 2006, prevê, em seu Artigo 2º, que “toda mulher, independentemente de classe, raça, etnia, orientação sexual, rend…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,9
