tecId,cadernoNumero,banca,concurso,ano,classificacao_final,sublote_origem,APROVADA_PARA_PROXIMA_FASE,motivo_ressalva
3138220,276,"IGEDUC","Vig (CM Tuparetama)/CM Tuparetama/2024",2024,FORA_ESCOPO_LMP,2,false,"Bloco IGEDUC/Tuparetama-PE sobre violencia contra pessoa com deficiencia (texto-base + abandono em hospitais/casas de saude, materia do art. 90 da Lei 13.146/2015 - LBI); classificado no site de origem como Conhecimentos Gerais/Seguranca, nao como conteudo especifico da LMP. Preservado para eventual reaproveitamento futuro em conteudo de Pessoa com Deficiencia/Conhecimentos Gerais -- nao descartado definitivamente, apenas excluido deste lote de Lei Maria da Penha."
3138219,277,"IGEDUC","Vig (CM Tuparetama)/CM Tuparetama/2024",2024,FORA_ESCOPO_LMP,2,false,"Bloco IGEDUC/Tuparetama-PE sobre violencia contra pessoa com deficiencia (texto-base + abandono em hospitais/casas de saude, materia do art. 90 da Lei 13.146/2015 - LBI); classificado no site de origem como Conhecimentos Gerais/Seguranca, nao como conteudo especifico da LMP. Preservado para eventual reaproveitamento futuro em conteudo de Pessoa com Deficiencia/Conhecimentos Gerais -- nao descartado definitivamente, apenas excluido deste lote de Lei Maria da Penha."
3138217,278,"IGEDUC","Vig (CM Tuparetama)/CM Tuparetama/2024",2024,FORA_ESCOPO_LMP,2,false,"Bloco IGEDUC/Tuparetama-PE sobre violencia contra pessoa com deficiencia (texto-base + abandono em hospitais/casas de saude, materia do art. 90 da Lei 13.146/2015 - LBI); classificado no site de origem como Conhecimentos Gerais/Seguranca, nao como conteudo especifico da LMP. Preservado para eventual reaproveitamento futuro em conteudo de Pessoa com Deficiencia/Conhecimentos Gerais -- nao descartado definitivamente, apenas excluido deste lote de Lei Maria da Penha."
3135241,280,"Instituto Verbena","Estag (MPE GO)/MPE GO/Residência Jurídica/2024",2024,VALIDA,2,true,
3179836,281,"Instituto Consulplan","CCLar (Pref Esmeraldas)/Pref Esmeraldas/2024",2024,VALIDA,2,true,
3126303,282,"FAUEL","Psico (Pref Maringá)/Pref Maringá/2024",2024,VALIDA,2,true,
3125995,283,"ITAME","AASoc (Pref Acreúna)/Pref Acreúna/2024",2024,VALIDA,2,true,
3124680,285,"FAUEL","Ed Soc (Pref Maringá)/Pref Maringá/2024",2024,VALIDA_COM_RESSALVA,2,true,
3181496,286,"Instituto Consulplan","Ed Soc (Pref Esmeraldas)/Pref Esmeraldas/2024",2024,VALIDA,2,true,
3105580,287,"FGV","Psic (Pref Abreu e Lima)/Pref Abreu e Lima/2024",2024,VALIDA,2,true,
3105199,288,"Instituto AOCP","Esp SP (Pref Uberaba)/Pref Uberaba/Educador Social/2024",2024,VALIDA,2,true,
3199401,289,"CEBRASPE (CESPE)","Proc (MPTC DF)/TC DF/2024",2024,VALIDA,2,true,
3097617,291,"IBAM","GM (Pref Caruaru)/Pref Caruaru/2024",2024,VALIDA,2,true,
3097103,292,"OBJETIVA CONCURSOS","Ag Ap (Pref Maripá)/Pref Maripá/2024",2024,VALIDA,2,true,
3223384,293,"Instituto Verbena","Enf (Pref Rio Branco (AC))/Pref Rio Branco (AC)/Sem Área (30h e 40h)/2024",2024,VALIDA,2,true,
3096883,294,"OBJETIVA CONCURSOS","Tel (Pref Maripá)/Pref Maripá/2024",2024,VALIDA,2,true,
3229673,295,"FADESP","GCM (Pref Capanema (PA))/Pref Capanema (PA)/2024",2024,VALIDA,2,true,
3278936,298,"AVANÇASP","Coor (SM Arcanjo)/Pref SM Arcanjo/CRAS/2024",2024,VALIDA,2,true,
3279521,299,"AVANÇASP","Coor (SM Arcanjo)/Pref SM Arcanjo/CREAS/2024",2024,VALIDA,2,true,
3299190,300,"OBJETIVA CONCURSOS","At (Pref S Leopoldina)/Pref S Leopoldina/2024",2024,VALIDA,2,true,
3094833,301,"OBJETIVA CONCURSOS","Ag (Pref Maripá)/Pref Maripá/Comunitário de Saúde/2024",2024,VALIDA,2,true,
3299442,303,"FUNDATEC","GM (Pref Foz do Iguaçu)/Pref Foz do Iguaçu/2024",2024,VALIDA,2,true,
3315926,304,"FEPESE","Ori Soc (Pref Mafra)/Pref Mafra/2024",2024,VALIDA_COM_RESSALVA,3,true,"Lista fechada das 5 modalidades classicas sem hedge -- gabarito A permanece o unico plausivel; precisa de nota sobre o inciso VI (violencia vicaria, Lei 15.384/2026)."
3321050,305,"FUNDATEC","Aux Cont (Pref Giruá)/Pref Giruá/2024",2024,DADOS_INSUFICIENTES_VISUAL,3,false,"DADOS_INSUFICIENTES_VISUAL: enunciado depende de uma ""manchete"" (imagem/print de noticia) referenciada mas nao extraivel do PDF de origem. Busca confirmada: (1) nenhum arquivo .pdf existe em lugar nenhum do repositorio local (Glob **/*.pdf = 0 resultados); (2) o .txt bruto extraido por pdftotext -layout (supabase/_lote2_txt/caderno_201 ao 400.txt, linhas 1767-1780) mostra que a linha ""305) Analise a manchete abaixo:"" salta direto para o enunciado da pergunta, sem nenhum texto intermediario -- a imagem nao tem camada de texto (nao foi OCRizada). Gabarito C (Fisica) nao pode ser confirmado nem refutado sem o conteudo visual. NAO IMPORTAR. Preservada no inventario para eventual recuperacao futura (ex.: se o PDF original for localizado/re-adquirido e puder ser OCRizado)."
3322429,306,"FUNDEP","Ag Soc (Pref Cordisburgo)/Pref Cordisburgo/2024",2024,VALIDA,3,true,
3324743,308,"AVANÇASP","Coord (Pref Laranjal Pta)/Pref Laranjal Pta/Centro de Referência da Assistência Social - CRAS/2024",2024,VALIDA,3,true,
3085547,309,"VUNESP","CSoc (Pref Osasco)/Pref Osasco/2024",2024,VALIDA,3,true,
3324785,310,"AVANÇASP","Coord (Pref Laranjal Pta)/Pref Laranjal Pta/Centro de Referência Especializada da Assistência Social - CREAS/2024",2024,VALIDA,3,true,
3083884,311,"CEBRASPE (CESPE)","Ass Soc (CAGEPA)/CAGEPA/2024",2024,VALIDA,3,true,
3324796,312,"AVANÇASP","Coord (Pref Laranjal Pta)/Pref Laranjal Pta/Centro de Referência Especializada da Assistência Social - CREAS/2024",2024,VALIDA,3,true,
3338000,314,"SELECON","Vis Soc (Pref Nova Mutum)/Pref Nova Mutum/2024",2024,VALIDA,3,true,
3077866,315,"VUNESP","GM (Pref SJRP)/Pref SJRP/2024",2024,VALIDA,3,true,
3073912,316,"FEPESE","ASE (Pref Brusque)/Pref Brusque/2024",2024,VALIDA,3,true,
3392823,319,"MS (SARMENTO)","Ass Soc (Pref Tabocão)/Pref Tabocão/2024",2024,VALIDA_COM_RESSALVA,3,true,
3415068,320,"OBJETIVA CONCURSOS","ASoc (Pref Lebon Régis)/Pref Lebon Régis/2024",2024,VALIDA,3,true,
3072118,321,"MS (SARMENTO)","ASoc (Pref Potim)/Pref Potim/2024",2024,VALIDA,3,true,
3417429,324,"UNESC","AEdu (Pref Cunhatai)/Pref Cunhatai/2024",2024,VALIDA,3,true,
2759639,325,"FGV","Res (TJ RJ)/TJ RJ/Psicólogo/2024",2024,VALIDA,3,true,
2770925,326,"IBFC","GM (Pref Manaus)/Pref Manaus/2024",2024,VALIDA,3,true,
2789972,327,"CEBRASPE (CESPE)","Prof NU Jr (ITAIPU)/ITAIPU/Assistente Social/2024",2024,VALIDA,3,true,
3449398,328,"INSTITUTO MAIS","Ag Fisc (CRESS 9)/CRESS 9 (SP)/2024",2024,VALIDA,3,true,
3055885,329,"UFMT","Psic (Pref Campos de Júlio)/Pref Campos de Júlio/Sem Área/2024",2024,VALIDA,3,true,
3055293,330,"OBJETIVA CONCURSOS","TEnf (Pref Pato Bragado)/Pref Pato Bragado/2024",2024,VALIDA,3,true,
3050257,332,"FGV","Aud CE (TCE-PA)/TCE PA/Administrativa/Psicologia/2024",2024,VALIDA,3,true,
3039026,333,"FUNDATEC","Ag Con (Pref Londrina)/Pref Londrina/Funerário/2024",2024,VALIDA,3,true,
3031784,334,"OBJETIVA CONCURSOS","ACS (Pref Vila Boa)/Pref Vila Boa/2024",2024,VALIDA,3,true,
2812702,335,"Instituto Consulplan","Prom Jus (MPE SC)/MPE SC/2024",2024,VALIDA_COM_RESSALVA,3,true,"Preambulo do enunciado cita erroneamente ""Estatuto da Crianca e do Adolescente, Lei no 8.069/1990"" como lei de referencia, mas todo o conteudo e sobre Lei Maria da Penha. Gabarito (Errado -- lista do art.7 e exemplificativa, nao taxativa) fica ainda mais solido com o inciso VI de 2026."
3021691,337,"OBJETIVA CONCURSOS","Enf (Pref Nonoai)/Pref Nonoai/2024",2024,VALIDA,3,true,
3014724,338,"OBJETIVA CONCURSOS","Fono (Pref Jaguariaíva)/Pref Jaguariaíva/2024",2024,VALIDA,3,true,
3007260,341,"ITAME","ASoc (Pref C Dourada (GO))/Pref C Dourada (GO)/2024",2024,VALIDA,3,true,
3509833,342,"OBJETIVA CONCURSOS","Ag (Pref Guaraniaçu)/Pref Guaraniaçu/Comunitário de Saúde/2024",2024,VALIDA,3,true,
2826549,345,"AVANÇASP","Ag (Pref Laranjal P)/Pref Laranjal Pta/Social/2024",2024,VALIDA,3,true,
2826587,346,"AVANÇASP","Ag (Pref Laranjal P)/Pref Laranjal Pta/Social/2024",2024,VALIDA,3,true,
3532980,347,"IDECAN","ASoc (PB Saúde)/PB Saúde/2024",2024,VALIDA,3,true,
3575952,349,"ADM&TEC","ASoc (Pref São L Quitunde)/Pref São L Quitunde/2024",2024,VALIDA,3,true,
2983066,350,"FGV","GM (Pref Vitória)/Pref Vitória/2024",2024,VALIDA,3,true,
2983038,351,"CEBRASPE (CESPE)","ASoc (Pref Cach Itapemirim)/Pref Cach Itapemirim/2024",2024,VALIDA,3,true,
2983032,352,"CEBRASPE (CESPE)","ASoc (Pref Cach Itapemirim)/Pref Cach Itapemirim/2024",2024,VALIDA,3,true,
3595916,354,"FUNDATEC","ASoc (Pref Alegria)/Pref Alegria/2024",2024,VALIDA,3,true,
2968027,355,"ITAME","Ag (Pref SLM Belos)/Pref SLM Belos/Comunitário de Saúde/2024",2024,VALIDA,3,true,
3595917,356,"FUNDATEC","ASoc (Pref Alegria)/Pref Alegria/2024",2024,VALIDA,4,true,
3596067,357,"FUNDATEC","Coz (Pref Alegria)/Pref Alegria/2024",2024,VALIDA,4,true,
2966706,359,"Instituto Consulplan","Cuid Soc (Pref SM Jetibá)/Pref SM Jetibá/2024",2024,VALIDA,4,true,
3630576,360,"FUNDATEC","Ass Soc (CM Passo Sobrado)/CM Passo Sobrado/2024",2024,VALIDA,4,true,
2962308,361,"IBADE","Ass Soc (Pref Jaru)/Pref Jaru/2024",2024,VALIDA,4,true,
3630969,362,"FUNDATEC","ASG (CM Passo Sobrado)/CM Passo Sobrado/2024",2024,VALIDA,4,true,
2955765,364,"Instituto Consulplan","Ori Soc (Pref Espera Feliz)/Pref Espera Feliz/2024",2024,VALIDA,4,true,
3682521,365,"CPCON UEPB","Ass Sc (Soledade PB)/Pref Soledade (PB)/2024",2024,VALIDA,4,true,
2955256,366,"Legalle","CTSP (BM RS)/BM RS/2024",2024,VALIDA,4,true,
2941057,368,"AVANÇASP","Coor CRAS (Pref Lorena)/Pref Lorena/2024",2024,VALIDA,4,true,
2847969,369,"FUNDATEC","ASoc (Pref Alpestre)/Pref Alpestre/2024",2024,VALIDA_COM_RESSALVA,4,true,"Lista fechada das 5 modalidades classicas sem hedge (""entre outras""/""algumas"") -- gabarito A permanece o unico plausivel entre as opcoes dadas (as demais sao falsas por outros motivos, nenhuma menciona vicaria); precisa de nota sobre o inciso VI (Lei 15.384/2026)."
2932376,372,"IGEDUC","GM (Pref Arcoverde)/Pref Arcoverde/2024",2024,VALIDA,4,true,
2932194,373,"IGEDUC","GM (Pref Arcoverde)/Pref Arcoverde/2024",2024,VALIDA,4,true,
2932188,374,"IGEDUC","GM (Pref Arcoverde)/Pref Arcoverde/2024",2024,VALIDA,4,true,
2847886,375,"FUNDATEC","Serv (CM Alpestre)/CM Alpestre/2024",2024,VALIDA,4,true,
2924320,376,"FGV","Psic (Pref Caraguatatuba)/Pref Caraguatatuba/30h/2024",2024,VALIDA,4,true,
2919563,379,"MS (SARMENTO)","ASoc Sau (Pref Adustina)/Pref Adustina/2024",2024,VALIDA,4,true,
2910137,380,"FGV","Tec NS (TJ MS)/TJ MS/Psicologia/2024",2024,VALIDA,4,true,
2904890,381,"VUNESP","ASoc (Pref Santo André)/Pref Santo André/2024",2024,VALIDA,4,true,
2898378,383,"Instituto ACCESS","GM (Cariacica)/Pref Cariacica/2024",2024,VALIDA,4,true,
2842551,384,"IVIN","GM (Pref Curuçá)/Pref Curuçá/2024",2024,VALIDA,4,true,
2859577,385,"IGEDUC","GM (Pref B Jardim)/Pref Belo Jardim/2024",2024,VALIDA,4,true,
2859690,386,"IGEDUC","GM (Pref Garanhuns)/Pref Garanhuns/2024",2024,VALIDA,4,true,
2861901,387,"RBO","GC (Pref Cotia)/Pref Cotia/2024",2024,VALIDA,4,true,
2890074,389,"FUNCERN","GCM (Pref Parnamirim)/Pref Parnamirim (RN)/2024",2024,VALIDA,4,true,
2862259,390,"FUNDATEC","Ag (Pref Paulo Bento)/Pref Paulo Bento/Administrativo/Sem Especialidade/2024",2024,VALIDA,4,true,
2840121,391,"FUNDATEC","Ag (Pref Jari)/Pref Jari/Combate às Endemias/2024",2024,VALIDA,4,true,
2877475,392,"FGV","AJ (TJ AP)/TJ AP/Apoio Especializado/Psicólogo/2024",2024,VALIDA,4,true,
2718877,394,"IBAM","CSoc (Pref Guarujá (SP))/Pref Guarujá (SP)/2023",2023,VALIDA_COM_RESSALVA,4,true,"Artefato de OCR/extracao: numeros romanos II e III aparecem grafados ""Il"" e ""llI"" no enunciado e nas alternativas (""Il e IlI, apenas."" etc). Conteudo e gabarito corretos; precisa so de limpeza de texto (normalizar numeracao romana) antes de importar."
3622849,396,"URI","ASoc (Pref Entre-Ijuís)/Pref Entre-Ijuís/2023",2023,VALIDA,4,true,
3603257,399,"SELECON","ASoc (Pref Nova Mutum)/Pref Nova Mutum/2023",2023,VALIDA,4,true,
3534524,401,"FUNDATEC","ASoc (IPASEM CB)/IPASEM CB/2023",2023,VALIDA,4,true,
3260966,402,"COSEAC UFF","Ed Soc (FEMAR)/FEMAR/2023",2023,VALIDA,4,true,
3169677,403,"OBJETIVA CONCURSOS","Enf (Pref Roque Gonzales)/Pref Roque Gonzales/2023",2023,VALIDA,4,true,
3093006,404,"Instituto AOCP","2º Ten Adm (PM DF)/PM DF/2023",2023,VALIDA,4,true,
3062789,406,"FURB","Edu (Pref Blumenau)/Pref Blumenau/Social/Atuação em Transporte Escolar/2023",2023,VALIDA,4,true,
3057596,407,"Fundação La Salle","MVet (Pref Serafina Corrêa)/Pref Serafina Corrêa/20h/2023",2023,VALIDA_COM_RESSALVA,4,true,"Artefato de OCR/extracao no enunciado: ""Janice esta sofrendo escola d violencia domestica"" -- trecho ""escola d"" e residuo de extracao, provavel colisao com texto de layout do PDF. Conteudo e gabarito (E, patrimonial) corretos e claros pelo resto do enunciado; precisa de limpeza de texto antes de importar."
3000783,408,"Instituto Consulplan","GCM (Pref Astolfo Dutra)/Pref Astolfo Dutra/Feminino/2023",2023,VALIDA,4,true,
2976888,410,"EPL Concursos","ASoc (Pref Sta Rita (PB))/Pref Sta Rita (PB)/2023",2023,VALIDA,5,true,
2925122,412,"IBFC","ASoc (EBSERH)/HU Brasil/2023",2023,VALIDA,5,true,
2891542,413,"IGEDUC","ASoc (Pref Pombos)/Pref Pombos/Secretaria de Educação/2023",2023,VALIDA,5,true,
2890917,414,"NTCS","GCM (Pref SJ da Baliza)/Pref SJ da Baliza/2023",2023,VALIDA,5,true,
2885524,416,"NTCS","GCM (Pref Bonfim RR)/Pref Bonfim (RR)/2023",2023,VALIDA,5,true,
2885113,417,"FAU UNICENTRO","Ass Soc (UNIOESTE)/UNIOESTE/2023",2023,VALIDA,5,true,
2881886,418,"EDUCA PB","CEAE (Pref Pilões)/Pref Pilões/2023",2023,PROBLEMATICA,5,false,"Erro de gabarito da banca de origem (EDUCA PB, Pilões-PB/2023), confirmado na propria grade oficial extraida do PDF (""418) C""). O enunciado lista ""IV. A violencia social"" como um dos itens candidatos e o gabarito C marca TODOS os 6 itens (I-VI) como corretos, incluindo o item IV -- mas ""violencia social"" nunca foi categoria do art.7 da LMP, nem antes nem depois da Lei 15.384/2026 (que acrescentou vicaria, nao social). Nao e questao de vicaria/atualizacao legislativa -- e erro de premissa/gabarito da fonte original. Nao importar com este gabarito."
2880201,419,"EDUCA PB","ASoc (Pref Pilões)/Pref Pilões/2023",2023,VALIDA,5,true,
2873346,420,"IGEDUC","ASoc (Pref Pombos)/Pref Pombos/Secretaria de Assistência Social/2023",2023,VALIDA,5,true,
2872545,421,"IGEDUC","Ori Soc (Pref Ingá)/Pref Ingá/2023",2023,VALIDA,5,true,
2872477,422,"IGEDUC","Ori Soc (Pref Ingá)/Pref Ingá/2023",2023,VALIDA,5,true,
2872471,423,"IGEDUC","Ori Soc (Pref Ingá)/Pref Ingá/2023",2023,VALIDA,5,true,
2852647,425,"ASSEGE","ASoc (Pref Aramari)/Pref Aramari/2023",2023,VALIDA,5,true,
2844317,426,"GSA","GCM (Pref Itapetininga)/Pref Itapetininga/2023",2023,VALIDA,5,true,
2844316,427,"GSA","GCM (Pref Itapetininga)/Pref Itapetininga/2023",2023,VALIDA,5,true,
2832645,430,"FUNDATEC","ASG (CM Sapucaia do Sul)/CM Sapucaia do Sul/2023",2023,DADOS_INSUFICIENTES_VISUAL,5,false,"DADOS_INSUFICIENTES_VISUAL: enunciado depende de ""Figura 1"", print de noticia do Jornal Pioneiro (24/10/2017), referenciada mas nao extraivel do PDF. Confirmado no .txt bruto (supabase/_lote2_txt/caderno_401 ao 600.txt, linhas 549-561): a linha ""430) Leia a noticia da Figura 1 abaixo:"" e seguida apenas por ""Figura 1 / Fonte: Jornal Pioneiro (24/10/2017)"" sem nenhum texto da noticia em si -- imagem sem camada de texto/OCR. Gabarito A (Sexual) nao pode ser confirmado nem refutado sem o conteudo visual. NAO IMPORTAR. Preservada no inventario para eventual recuperacao futura."
2832187,432,"FUNDATEC","Ag (Água de Ivoti)/Água de Ivoti/Administrativo/2023",2023,VALIDA,5,true,
2832030,433,"INSTITUTO MAIS","GM (Pref Cosmópolis)/Pref Cosmópolis/2023",2023,VALIDA,5,true,
2831105,434,"FUNDATEC","Serv (CM Agudo)/CM Agudo/2023",2023,VALIDA,5,true,
2830572,435,"FUNDATEC","Aux Leg (CM Agudo)/CM Agudo/2023",2023,VALIDA,5,true,
2828648,437,"FCC","AJ (TJ BA)/TJ BA/Apoio Especializado/Pedagogo/2023",2023,VALIDA,5,true,
2824698,438,"AVANÇASP","OSoc (Pref Itapecerica S)/Pref Itapecerica S/2023",2023,VALIDA,5,true,
2822362,439,"FCC","AJ (TJ BA)/TJ BA/Apoio Especializado/Assistente Social/2023",2023,VALIDA,5,true,
2813039,440,"INTEGRI BRASIL","GC (Pref Socorro)/Pref Socorro/Estagiário/2023",2023,VALIDA,5,true,
2755533,443,"IVIN","CSS (Pref Valença do PI)/Pref Valença do PI/2023",2023,VALIDA,5,true,
2749394,444,"SELECON","Mon Soc (Pref Pri do Leste)/Pref Pri do Leste/2023",2023,VALIDA,5,true,
2739031,445,"IGEDUC","GM (Pref Surubim)/Pref Surubim/2023",2023,VALIDA,5,true,
2736918,446,"IGEDUC","GM (Pref SV Férrer)/Pref SV Férrer/2023",2023,VALIDA,5,true,
2736792,447,"IGEDUC","GM (Pref SV Férrer)/Pref SV Férrer/2023",2023,VALIDA,5,true,
2736747,448,"IGEDUC","GM (Pref SV Férrer)/Pref SV Férrer/2023",2023,VALIDA,5,true,
2735885,449,"IDECAN","GC (Pref Serra)/Pref Serra (ES)/2023",2023,VALIDA,5,true,
2666495,450,"IGEDUC","ASoc (Pref Triunfo (PE))/Pref Triunfo (PE)/Todas as áreas/2023",2023,VALIDA,5,true,
2664350,451,"IGEDUC","GM (Pref Triunfo (PE))/Pref Triunfo (PE)/2023",2023,VALIDA,5,true,
2641353,454,"FAUEL","GCM (Pref Sengés)/Pref Sengés/2023",2023,DESATUALIZADA,5,false,"DESATUALIZADA: o enunciado pede explicitamente a alternativa que representa ""TODAS AS FORMAS de violencia domestica... DE ACORDO COM OS REFERIDOS INCISOS DO ART. 7"" -- uma alegacao de completude que e o proprio nucleo testado, nao um detalhe periferico. O gabarito B lista apenas as 5 modalidades classicas; nenhuma das 4 alternativas inclui a violencia vicaria (inciso VI, Lei 15.384/2026), entao NAO HA alternativa totalmente correta sob a lei vigente em 2026 -- mesmo padrao do caderno 226 do sub-lote 1."
2641121,455,"ADM&TEC","OSoc (Pref Timbaúba)/Pref Timbaúba/2023",2023,VALIDA,5,true,
2634262,456,"IGEDUC","ASoc (Tupanatinga)/Pref Tupanatinga/2023",2023,VALIDA,5,true,
2634226,457,"IGEDUC","ASoc (Tupanatinga)/Pref Tupanatinga/2023",2023,VALIDA,5,true,
2629049,459,"ADM&TEC","ASoc (Pref Timbaúba)/Pref Timbaúba/2023",2023,VALIDA,5,true,
2622322,460,"FUNDATEC","Ana Sup (CAU RS)/CAU RS/Sem Área/2023",2023,VALIDA,6,true,
2614560,461,"Legalle","AnaDP (DPE PA)/DPE PA/Serviço Social/2023",2023,VALIDA,6,true,
2596117,463,"ITAME","Ag (Pref Nazário)/Pref Nazário/Saúde/2023",2023,VALIDA,6,true,
